ID,Code,Name,attack_type,Rangedamage,Delayed_Rangedamage,skill_cannon,special_wprange,Slv,Calculation,element,hits,Critical_hit,combo,combo_element,combo_hits,monster_race,skill_buff,Special_Calculation,combo_Special_Calculation,Special_Critical_hit,skill_SpecialATK,half_bypass_def,half_bypass_res,decay_hits,bonus_add,bonus_step
1,NV_BASIC,基本技能,magic,0,,0,,1,0,0,1,,,,,,觸發特殊,,,,,0,0,,,
2,SM_SWORD,單手劍使用熟練度,,,,,,,,0,0,,,,,,,,,,,,,,,
3,SM_TWOHAND,雙手劍使用熟練度,,,,,,,,0,0,,,,,,,,,,,,,,,
4,SM_RECOVERY,快速恢復,,,,,,,,0,0,,,,,,,,,,,,,,,
5,SM_BASH,狂擊,,,,,,,,0,0,,,,,,,,,,,,,,,
6,SM_PROVOKE,挑釁,,,,,,,,0,0,,,,,,,,,,,,,,,
7,SM_MAGNUM,怒爆,,,,,,,,0,0,,,,,,,,,,,,,,,
8,SM_ENDURE,霸體,,,,,,,,0,0,,,,,,,,,,,,,,,
9,MG_SRECOVERY,禪心,,,,,,,,0,0,,,,,,,,,,,,,,,
10,MG_SIGHT,火狩,,,,,,,,0,0,,,,,,,,,,,,,,,
11,MG_NAPALMBEAT,心靈爆破,,,,,,,,0,0,,,,,,,,,,,,,,,
12,MG_SAFETYWALL,暗之障壁,,,,,,,,0,0,,,,,,,,,,,,,,,
13,MG_SOULSTRIKE,聖靈召喚,,,,,,,,0,0,,,,,,,,,,,,,,,
14,MG_COLDBOLT,冰箭術,magic,0,0,0,,10,100*Sklv+(GUSklv(2445)*-900),1,-10+(GUSklv(2445)*10),,,,,,2456,100+(GUSklv(2456)*900)+(GUSklv(5376)*-900)+(GUSklv(5376)*GUSklv(2456)*400),,,,0,0,,,
15,MG_FROSTDIVER,冰凍術,,,,,,,,0,0,,,,,,,,,,,,,,,
16,MG_STONECURSE,石化術,,,,,,,,0,0,,,,,,,,,,,,,,,
17,MG_FIREBALL,火球術,,,,,,,,0,0,,,,,,,,,,,,,,,
18,MG_FIREWALL,火焰之壁,,,,,,,,0,0,,,,,,,,,,,,,,,
19,MG_FIREBOLT,火箭術,magic,0,0,0,,10,100*Sklv+(GUSklv(2445)*-900),3,-10+(GUSklv(2445)*10),,,,,,2456,100+(GUSklv(2456)*900)+(GUSklv(5375)*-900)+(GUSklv(5375)*GUSklv(2456)*400),,,,0,0,,,
20,MG_LIGHTNINGBOLT,雷擊術,magic,0,0,0,,10,100*Sklv+(GUSklv(2445)*-900),4,-10+(GUSklv(2445)*10),,,,,,2456,100+(GUSklv(2456)*900)+(GUSklv(5377)*-900)+(GUSklv(5377)*GUSklv(2456)*400),,,,0,0,,,
21,MG_THUNDERSTORM,雷爆術,,,,,,,,0,0,,,,,,,,,,,,,,,
22,AL_DP,天使之護,,,,,,,,0,0,,,,,,,,,,,,,,,
23,AL_DEMONBANE,天使之擊,,,,,,,,0,0,,,,,,,,,,,,,,,
24,AL_RUWACH,光獵,,,,,,,,0,0,,,,,,,,,,,,,,,
25,AL_PNEUMA,光之障壁,,,,,,,,0,0,,,,,,,,,,,,,,,
